Space,Folder,List,Task Name,Responsable,Naturaleza Contractual,Recurrencia,Plataforma / Tag,Clausula Contractual
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Prioridades del Diagnóstico (fase inicial),Evaluar y proponer plan de consolidación de dominios y mejora de indexación,Prestadora,ON,Puntual (1er trimestre),SEO técnico,C4.c.ii
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Prioridades del Diagnóstico (fase inicial),Implementar la conexión entre Meta Ads y el CRM Pipedrive,Prestadora,ON,Puntual (fase inicial),Pipedrive,C4.c.iii
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Prioridades del Diagnóstico (fase inicial),"Configurar Google Tag Manager, Search Console y GA4",Prestadora,ON,Puntual (fase inicial),GTM / GA4 / GSC,C4.c.iv
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Prioridades del Diagnóstico (fase inicial),Documentar formalmente los cambios técnicos de las configuraciones anteriores,Prestadora,ON,Puntual (fase inicial),General,C4.c.iv
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Prioridades del Diagnóstico (fase inicial),Reactivar y sostener el calendario de producción de contenido,Prestadora,CF,Continuo / mensual,Contenido,C4.c.v
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Prioridades del Diagnóstico (fase inicial),"Reportar avance de cada prioridad diagnosticada (causa, imputabilidad, acción correctiva)",Prestadora,GR,Mensual,General,C4.d
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: caída relevante de rendimiento de campañas,Prestadora,AL,Por demanda (≤24 h hábiles),Paid Media,C17.a.i
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: tracking roto o pixeles sin disparar,Prestadora,AL,Por demanda (≤12 h hábiles),Tracking,C17.a.ii
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: presupuesto en riesgo de desperdicio significativo,Prestadora,AL,Por demanda (≤24 h hábiles),Paid Media,C17.a.iii
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: suspensión o riesgo de suspensión de cuentas publicitarias,Prestadora,AL,Por demanda (≤12 h hábiles),Paid Media,C17.a.iv
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,"Monitorear y alertar: problemas de dominio, hosting o certificado SSL",Prestadora,AL,Por demanda (≤24 h hábiles),Web,C17.a.v
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: caída de formularios o puntos de captación de leads,Prestadora,AL,Por demanda (≤12 h hábiles),Tracking / CRM,C17.a.vi
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: campañas activas sin conversiones (período anómalo),Prestadora,AL,Por demanda (≤24 h hábiles),Paid Media,C17.a.vii
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: deterioro significativo y sostenido de métricas clave,Prestadora,AL,Por demanda (≤24 h hábiles),General,C17.a.viii
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: anomalías relevantes en los datos,Prestadora,AL,Por demanda (≤24 h hábiles),Tracking,C17.a.ix
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Alertas e Incidencias,Monitorear y alertar: pérdida o riesgo de pérdida de accesos a Activos Digitales,Prestadora,AL,Por demanda (≤12 h hábiles),Accesos,C17.a.x
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Servicios Extraordinarios y Facturación,"Definir alcance, tiempos y condiciones de un Servicio Extraordinario",Compartido,SE,Por demanda,General,C24.c.i
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Servicios Extraordinarios y Facturación,Formalizar honorarios adicionales por escrito antes de ejecutar,Compartido,SE,Por demanda,General,C24.c.ii
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Servicios Extraordinarios y Facturación,Aprobar expresamente el Servicio Extraordinario antes de su ejecución,Cliente,SE,Por demanda,General,C24.c.iii
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Servicios Extraordinarios y Facturación,Emitir la boleta de honorarios mensual,Prestadora,GR,Mensual,Facturación,C29.b
DDCON — Paid Media & Growth (Constanza Zárate),"1. Estrategia, Planificación y Gobernanza",Servicios Extraordinarios y Facturación,Pagar la boleta dentro de 5 días hábiles desde su emisión,Cliente,GR,Mensual,Facturación,C29.b
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Definir arquitectura de campañas y conjuntos de anuncios,Prestadora,CF,Por campaña,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Segmentar y definir audiencias,Prestadora,CF,Por campaña,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Investigar y seleccionar palabras clave,Prestadora,CF,Por campaña,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Desarrollar y probar creatividades / copy,Compartido,CF,Por campaña,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Ejecutar pruebas A/B,Prestadora,CF,Continuo,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Administrar presupuesto dentro de los límites aprobados,Prestadora,OMP,Continuo,Google Ads,C8.a.ii / C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Configurar y revisar conversiones y atribución,Prestadora,OMP,Continuo,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Diseñar estrategias de remarketing,Prestadora,CF,Continuo,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Controlar desperdicio de presupuesto y aplicar exclusiones,Prestadora,OMP,Continuo,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Realizar análisis competitivo básico,Prestadora,CF,Trimestral / bajo demanda,Google Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Google Ads,Solicitar aprobación para incremento de presupuesto >20% o nueva plataforma,Prestadora,GR,Por demanda,Google Ads,C23.b
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Definir arquitectura de campañas y conjuntos de anuncios,Prestadora,CF,Por campaña,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Segmentar y definir audiencias,Prestadora,CF,Por campaña,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Investigar y seleccionar palabras clave / intereses,Prestadora,CF,Por campaña,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Desarrollar y probar creatividades / copy,Compartido,CF,Por campaña,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Ejecutar pruebas A/B,Prestadora,CF,Continuo,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Administrar presupuesto dentro de los límites aprobados,Prestadora,OMP,Continuo,Meta Ads,C8.a.ii / C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Configurar y revisar conversiones y atribución,Prestadora,OMP,Continuo,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Diseñar estrategias de remarketing,Prestadora,CF,Continuo,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Controlar desperdicio de presupuesto y aplicar exclusiones,Prestadora,OMP,Continuo,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Realizar análisis competitivo básico,Prestadora,CF,Trimestral / bajo demanda,Meta Ads,C9.a
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,Meta Ads,Solicitar aprobación para incremento de presupuesto >20% o nueva plataforma,Prestadora,GR,Por demanda,Meta Ads,C23.b
DDCON — Paid Media & Growth (Constanza Zárate),2. Paid Media,TikTok Ads / LinkedIn Ads (condicional),Activar gestión en TikTok Ads y/o LinkedIn Ads cuando se acuerde expresamente,Compartido,CF,Puntual (activación),TikTok / LinkedIn Ads,C3.b
DDCON — Paid Media & Growth (Constanza Zárate),"3. Tracking, Analítica y CRM",Meta Pixel y API de Conversiones,"Mantener Pixel y CAPI activos, midiendo conversión real",Prestadora,OMP,Continuo,Meta Pixel / CAPI,C8.a.i / C10.a
DDCON — Paid Media & Growth (Constanza Zárate),"3. Tracking, Analítica y CRM",Google Tag Manager,Mantener la configuración de Google Tag Manager,Prestadora,OMP,Continuo,GTM,C8.a.i / C10.a
DDCON — Paid Media & Growth (Constanza Zárate),"3. Tracking, Analítica y CRM",GA4 y Search Console,Mantener la configuración de GA4,Prestadora,OMP,Continuo,GA4,C10.a
DDCON — Paid Media & Growth (Constanza Zárate),"3. Tracking, Analítica y CRM",GA4 y Search Console,Gestionar Search Console,Prestadora,OMP,Continuo,Search Console,C10.a / C12.a
DDCON — Paid Media & Growth (Constanza Zárate),"3. Tracking, Analítica y CRM",UTMs,Mantener el sistema de UTMs,Prestadora,OMP,Continuo,UTMs,C10.a
DDCON — Paid Media & Growth (Constanza Zárate),"3. Tracking, Analítica y CRM",CRM Pipedrive,Mantener la integración Pipedrive ↔ mailing (tag de seguimiento),Prestadora,OMP,Continuo,Pipedrive,C8.a.iii / C10.a
DDCON — Paid Media & Growth (Constanza Zárate),"3. Tracking, Analítica y CRM",CRM Pipedrive,Conectar datos de adquisición con las etapas del embudo comercial (cuando esté disponible),Prestadora,CF,Mensual,Pipedrive,C10.c
DDCON — Paid Media & Growth (Constanza Zárate),"3. Tracking, Analítica y CRM",CRM Pipedrive,"Detectar, informar y corregir problemas de medición o tracking",Prestadora,OMP,Continuo / por demanda,Tracking,C10.b
DDCON — Paid Media & Growth (Constanza Zárate),4. Email Marketing,MailChimp,Contratar y proveer la cuenta MailChimp a la Prestadora,Cliente,ON,Puntual (inicio) / recurrente (suscripción),MailChimp,C11.c
DDCON — Paid Media & Growth (Constanza Zárate),4. Email Marketing,MailChimp,Integrar MailChimp con el CRM Pipedrive,Prestadora,ON,Puntual (fase inicial),MailChimp / Pipedrive,C11.c
DDCON — Paid Media & Growth (Constanza Zárate),4. Email Marketing,MailChimp,Mantener segmentación e higiene de las bases de datos,Prestadora,OMP,Continuo,MailChimp,C11.a
DDCON — Paid Media & Growth (Constanza Zárate),4. Email Marketing,MailChimp,Diseñar y ejecutar automatizaciones y envíos,Prestadora,CF,Mensual,MailChimp,C11.a
DDCON — Paid Media & Growth (Constanza Zárate),4. Email Marketing,MailChimp,"Planificar contenido, asuntos y llamados a la acción",Prestadora,CF,Mensual,MailChimp,C11.a
DDCON — Paid Media & Growth (Constanza Zárate),4. Email Marketing,MailChimp,"Reportar aperturas, clicks, conversiones y bajas",Prestadora,GR,Mensual,MailChimp,C11.a
DDCON — Paid Media & Growth (Constanza Zárate),4. Email Marketing,MailChimp,Verificar opción de baja (opt-out) efectiva en cada envío,Prestadora,OMP,Por envío,MailChimp,C11.b
DDCON — Paid Media & Growth (Constanza Zárate),4. Email Marketing,MailChimp,Mantener mailing activo sobre las listas propias del Cliente,Prestadora,OMP,Continuo,MailChimp,C8.a.iii
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,On-page,"Optimizar metadata (title, meta description)",Prestadora,CF,Continuo,SEO on-page,C12.a
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,On-page,Optimizar estructura de encabezados,Prestadora,CF,Continuo,SEO on-page,C12.a
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,On-page,Gestionar enlaces internos,Prestadora,CF,Continuo,SEO on-page,C12.a
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,On-page,Corregir errores técnicos identificables,Prestadora,CF,Continuo,SEO on-page,C12.a
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,On-page,Investigar palabras clave,Prestadora,CF,Mensual,SEO on-page,C12.a
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,On-page,Optimizar contenido existente,Prestadora,CF,Continuo,SEO on-page,C12.a
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,Off-page y Backlinks,Construir backlinks conforme al Plan de Acción,Prestadora,CF,Continuo,SEO off-page,C12.a
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,SEO Técnico y fuera de capacidad,Reportar trimestralmente el estado de indexación,Prestadora,GR,Trimestral,Search Console,C12.c
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,SEO Técnico y fuera de capacidad,Migraciones o rediseños estructurales del sitio,Prestadora (previa aprobación Cliente),SE,Bajo aprobación previa,Web,C12.b
DDCON — Paid Media & Growth (Constanza Zárate),5. SEO,SEO Técnico y fuera de capacidad,Desarrollos que excedan la plataforma actual (WordPress / Elementor),Prestadora (previa aprobación Cliente),SE,Bajo aprobación previa,Web,C12.b
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Video,Definir estrategia y calendario de contenidos,Prestadora,CF,Mensual,Contenido,C13.a
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Video,Grabar el material base (producción),Cliente,CF,Por pieza,Video,C13.a / C13.b
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Video,Editar video (montaje y adaptación de formatos),Prestadora,CF,Por pieza,Video,C13.a / C13.b
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Video,Publicar video en los canales correspondientes,Prestadora,CF,Por pieza,Video,C13.a / C13.b
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Blog,Producir y/u optimizar artículos de blog,Prestadora,CF,Mensual,Blog,C13.a
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Redes Sociales,Gestionar calendario y publicación en redes sociales,Prestadora,CF,Mensual,RRSS,C3.b / C13.a
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Google Business Profile,Publicar en Google Business Profile,Prestadora,CF,Mensual,GBP,C13.a
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Google Business Profile,Gestionar y responder reseñas,Prestadora,CF,Continuo,GBP,C13.a
DDCON — Paid Media & Growth (Constanza Zárate),6. Contenido y Redes Sociales,Google Business Profile,Optimizar la ficha de Google Business Profile,Prestadora,CF,Puntual / trimestral,GBP,C13.a
DDCON — Paid Media & Growth (Constanza Zárate),7. Landing Pages,Creación y soporte,Crear landing page (dentro de capacidad),Prestadora,CF,Por proyecto,Landing Pages,C3.b / C13.a
DDCON — Paid Media & Growth (Constanza Zárate),7. Landing Pages,Creación y soporte,Propagar y dar soporte a landing pages,Prestadora,CF,Continuo,Landing Pages,C3.b
DDCON — Paid Media & Growth (Constanza Zárate),7. Landing Pages,Creación y soporte,Ajustar u optimizar landing existente,Prestadora,CF,Por proyecto,Landing Pages,C13.a
DDCON — Paid Media & Growth (Constanza Zárate),7. Landing Pages,Creación y soporte,Desarrollar landing page compleja (externalizable con terceros),Prestadora (previa aprobación Cliente),SE,"Puntual, bajo aviso previo",Landing Pages,C7.h / C22
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Onboarding de herramientas y accesos,Contratar y proveer la cuenta ClickUp,Cliente,ON,Puntual (inicio),ClickUp,C5.d
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Onboarding de herramientas y accesos,Contratar y proveer la cuenta MailChimp,Cliente,ON,Puntual (inicio),MailChimp,C11.c
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Onboarding de herramientas y accesos,"Entregar accesos a Google Ads, Meta Business, GA4, GTM, Search Console, Pipedrive, dominio y hosting",Cliente,ON,Puntual (inicio),Accesos,C18.a
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Onboarding de herramientas y accesos,Configurar accesos con 2FA usando exclusivamente datos entregados por el Cliente,Prestadora,ON,Puntual (inicio),Accesos,C19.a
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Onboarding de herramientas y accesos,Verificar titularidad y control administrador de cada Activo Digital a nombre del Cliente,Prestadora,GR,Verificación trimestral,Accesos,C18.a / C18.c
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Offboarding (al término del contrato),Confirmar titularidad y revocar los accesos de la Prestadora y su equipo,Prestadora,OFF,Puntual (≤5 días hábiles desde término),Accesos,C31.a.i
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Offboarding (al término del contrato),"Entregar archivos fuente, creatividades y documentación técnica/estratégica",Prestadora,OFF,Puntual,General,C31.a.ii
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Offboarding (al término del contrato),Entregar estado actualizado de campañas activas y su configuración,Prestadora,OFF,Puntual,Paid Media,C31.a.iii
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Offboarding (al término del contrato),"Entregar copia de dashboards, reportes históricos y Plan de Acción",Prestadora,OFF,Puntual,General,C31.a.iv
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Offboarding (al término del contrato),"Entregar listado de proyectos en curso, pendientes y bloqueados",Prestadora,OFF,Puntual,General,C31.a.v
DDCON — Paid Media & Growth (Constanza Zárate),"8. Activos Digitales, Accesos y Herramientas",Offboarding (al término del contrato),Entregar recomendaciones de continuidad,Prestadora,OFF,Puntual,General,C31.a.vi
