ID,Nombre de la tarea,Descripcion ejecutiva,Area / Lista ClickUp,Clasificacion,Importancia,Impacto,Urgencia,Esfuerzo,Estado sugerido,Responsable principal,Participantes,Tipo de responsable,Tiempo estimado,Dependencias,Tareas bloqueadas,Documento fuente,Pagina o seccion de referencia,Hallazgo asociado,Coincidencias entre documentos,Criterio de aceptacion,Evidencia de finalizacion,Riesgo de no ejecucion,Etiquetas,Hito o fase,Fecha sugerida,Observaciones
TASK-039,Completar el atributo alt en las imagenes de contenido de la home,"Redactar y cargar texto alternativo descriptivo en las imagenes de la home que hoy no lo tienen (42% de cobertura, 28 de 66).",Accesibilidad,Correccion tecnica,Media,Medio,Media,Medio,Por hacer,Redactor o equipo de contenidos,,Prestador,3-4 horas,,,DOC-01;DOC-13,Alcance SEO P3 / SL12,"42% de cobertura de alt en imagenes de la home, persiste desde la linea base",DOC-01;DOC-13(SL12),100% de imagenes de contenido de la home con alt descriptivo,Auditoria de accesibilidad posterior mostrando cobertura completa,Perdida de senal SEO adicional y de accesibilidad para lectores de pantalla,SEO;accesibilidad;WordPress,Corto plazo,,"Complementa (no duplica) el hallazgo de imagenes sin alt del blog y las 14 URL de servicio, ya cubierto en la auditoria tecnica de WordPress"
TASK-040,Ampliar la cobertura de loading=lazy a imagenes fuera del primer scroll,Activar carga diferida en las imagenes de la home que estan fuera del primer scroll y hoy no la tienen (41% de cobertura).,Rendimiento,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Desarrollador web,,Prestador,1-2 horas,,,DOC-01;DOC-13,Alcance SEO P3 / SL13,41% de cobertura de loading=lazy en la home,DOC-01;DOC-13(SL13),Cobertura de loading=lazy superior al 90% en imagenes fuera del primer scroll,Reporte de Lighthouse mostrando la mejora,"Peso de carga inicial mayor al necesario, afecta LCP indirectamente",SEO;rendimiento;WordPress,Corto plazo,,
TASK-041,Implementar schema LocalBusiness,"Agregar datos estructurados LocalBusiness para el negocio, ausentes hoy en el JSON-LD de la home.",SEO tecnico,Correccion tecnica,Media,Medio,Baja,Bajo,Por hacer,Especialista SEO,,Prestador,1-2 horas,,,DOC-01;DOC-13,Alcance SEO P5 / SL14,"Schema LocalBusiness ausente, confirmado desde mayo (DOC-14) hasta agosto",DOC-01;DOC-13(SL14);DOC-14,Validacion sin errores en el Rich Results Test de Google para LocalBusiness,Captura del Rich Results Test aprobado,Se pierde una senal clara de negocio local para busquedas geolocalizadas,SEO;schema;WordPress,Corto plazo,,
TASK-042,Implementar schema Service en las 6 paginas de servicio,"Agregar datos estructurados Service en cada una de las 6 paginas de servicio del sitio, ausentes hoy.",SEO tecnico,Correccion tecnica,Media,Medio,Media,Medio,Por hacer,Especialista SEO,,Prestador,3-4 horas,,,DOC-01;DOC-13,Alcance SEO P5 / SL15,Schema Service ausente en las paginas de servicio,DOC-01;DOC-13(SL15),Validacion sin errores en el Rich Results Test de Google para las 6 paginas,Captura del Rich Results Test aprobado para cada pagina,Se pierde la oportunidad de rich snippet de servicio en resultados de busqueda,SEO;schema;WordPress,Corto plazo,,
TASK-043,Ampliar la meta description de la home a 150-160 caracteres,Reescribir la meta description de la home (hoy 135 caracteres) para llevarla al rango optimo sin perder el mensaje persuasivo actual.,SEO de contenidos,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Especialista SEO,,Prestador,15 min,,,DOC-01;DOC-13,Alcance SEO P5 / SL18,"Meta description de 135 caracteres, bajo el rango optimo 150-160",DOC-01;DOC-13(SL18),Meta description de la home entre 150 y 160 caracteres,Captura de la meta description actualizada en el codigo fuente,Se desaprovecha espacio disponible en el snippet de busqueda,SEO;metadata;quick-win,Largo plazo,,
TASK-044,Apuntar los enlaces de menu directamente a /servicios/ y /blog/ con barra final,Corregir los enlaces del menu principal que hoy generan un salto 301 evitable por no incluir la barra final.,SEO tecnico,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Desarrollador web,,Prestador,15 min,,,DOC-01;DOC-13,Alcance SEO P6 / SL19,"2 enlaces de menu sin barra final generan 301 innecesario, confirmado 19-08",DOC-01;DOC-13(SL19),"Los enlaces de menu responden 200 directo, sin redireccion 301",Captura de la respuesta HTTP de ambos enlaces,Redireccion innecesaria en cada clic de navegacion desde el menu,SEO;tecnico;quick-win,Largo plazo,,
TASK-045,Agregar la cabecera Strict-Transport-Security,"Configurar el header HSTS en el servidor o WordPress, confirmado ausente en los headers de respuesta.",SEO tecnico,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Desarrollador web,,Prestador,30 min,,,DOC-01;DOC-13,Alcance SEO P6 / SL20,"Header Strict-Transport-Security ausente, confirmado 19-08",DOC-01;DOC-13(SL20),El header aparece presente en la respuesta HTTP de la home,Captura de los headers de respuesta mostrando HSTS,Superficie de riesgo de downgrade a HTTP en ciertos escenarios de red,seguridad;servidor;WordPress,Largo plazo,,
TASK-046,Publicar el set de anuncios del Anexo A (5 variantes) una vez resuelto el Meta Pixel,"Lanzar las 5 variantes de anuncio con angulos distintos ya preparadas, condicionado a que el Meta Pixel este activo y midiendo.",Meta Ads,Recomendacion estrategica,Media,Alto,Media,Medio,Bloqueada,Especialista Meta Ads,Responsable de contenidos,Prestador,1 dia,TASK-033,,DOC-02;DOC-06,Alcance Landing P4 / SL23,"5 variantes de angulo listas para publicar, condicional a resolver el Pixel primero",DOC-02;DOC-13(SL23),Las 5 variantes activas en Ads Manager con Pixel midiendo resultados,Captura de Ads Manager mostrando las 5 variantes activas,Publicar sin Pixel activo repite el problema de medicion a ciegas,Meta Ads;creatividades,Corto plazo,,Bloqueada hasta TASK-033
TASK-047,Entregar reporte quincenal de campanas,"Establecer la cadencia de reporte quincenal de estructura de campanas, presupuesto y resultados (CTR, CPC, ROAS, costo por lead) segmentado por campana.",Meta Ads,Documentacion,Media,Medio,Baja,Bajo,Por hacer,Especialista Meta Ads,,Prestador,1-2 horas c/u,,,DOC-02;DOC-06,Alcance Landing P4 / SL24,Cadencia de reporte no establecida formalmente,DOC-02;DOC-13(SL24),Primer reporte quincenal entregado con las 4 metricas indicadas por campana,Reporte quincenal entregado,"Sin cadencia de reporte, las decisiones de presupuesto se toman sin visibilidad regular",Meta Ads;reporting;gobernanza,Mediano plazo,,
TASK-048,Instrumentar eventos form_start/form_submit/click en la propiedad GA4 de servicios.,"Configurar los eventos personalizados que hoy solo existen en el dominio principal, en la propiedad GA4 de servicios.defensordelcontribuyente.cl.",GA4,Correccion tecnica,Media,Medio,Media,Medio,Por hacer,Especialista GA4/GTM,,Prestador,2-3 horas,TASK-013,,DOC-05,Tarea G4,"La propiedad servicios. solo registra eventos automaticos, cero eventos personalizados pese a tener formularios reales de campana",DOC-04;DOC-05,Eventos form_start y form_submit visibles en el informe de tiempo real de la propiedad servicios.,Captura del informe de eventos de GA4 servicios.,No hay visibilidad de conversion real en el subdominio servicios.,GA4;tracking,Corto plazo,,Depende de que TASK-013 decida mantener la propiedad separada
TASK-049,Instrumentar eventos distintos para clics a WhatsApp y a telefono,Reemplazar el evento generico click por eventos especificos que distingan clics a WhatsApp de clics a telefono.,GA4,Correccion tecnica,Media,Medio,Baja,Bajo,Por hacer,Especialista GA4/GTM,,Prestador,1-2 horas,,,DOC-05,Tarea G5,Hoy existe un unico evento generico click (33 en 30 dias) sin desglose por destino,DOC-05,Eventos click_whatsapp y click_telefono visibles por separado en GA4,Captura del informe de eventos de GA4 mostrando ambos eventos,No se puede saber que canal de contacto prefiere el usuario,GA4;tracking,Corto plazo,,
TASK-050,Configurar cross-domain measurement o rollup entre el dominio principal y servicios.,Vincular las 2 propiedades GA4 sin relacion entre si para que un usuario que cruza de un dominio a otro no genere una sesion nueva en una propiedad distinta.,GA4,Correccion tecnica,Media,Alto,Baja,Medio,Bloqueada,Especialista GA4/GTM,,Prestador,2-3 horas,TASK-013,,DOC-05,Tarea G9,"2 propiedades GA4 sin relacion entre si, confirmado con datos reales",DOC-04;DOC-05,Un mismo usuario que navega entre ambos dominios se registra como una sola sesion continua,Reporte de GA4 mostrando la sesion continua entre dominios,Datos de comportamiento cruzado quedan fragmentados e infravalorados,GA4;arquitectura;tracking,Mediano plazo,,Solo aplica si TASK-013 decide mantener servicios. como propiedad separada
TASK-051,Confirmar si las URL de campana con trafico casi nulo siguen activas en pauta,"Revisar en Ads Manager si las URL con trafico casi nulo en GA4 (preguntas-frecuentes-prescripcion-tributaria con 3 vistas, convenios-condonaciones con 5 vistas/1 sesion, blog/perdonazo-tributario-2022 con 1 vista) siguen recibiendo presupuesto de campana activa.",Meta Ads,Validacion en plataforma,Media,Medio,Media,Bajo,Por hacer,Especialista Meta Ads,Especialista Google Ads,Ambos,1 hora,,,DOC-05,Tarea G11,Cruce entre las 14 URL de campana y el trafico real GA4 muestra 3 URL casi sin trafico,DOC-04;DOC-05;DOC-09,Confirmacion documentada de si cada URL es legacy o deberia recibir mas trafico de campana,Nota de revision con la decision para cada URL,Se puede estar pagando por trafico hacia una pagina que nadie visita realmente,Meta Ads;Google Ads;GA4,Corto plazo,,
TASK-052,Verificar y activar el control de divulgacion de IA en Ads Manager,"Activar el control de divulgacion de contenido generado por IA en todo material que use el avatar IA, dado que Meta detecta el origen automaticamente desde el 01-06-2026.",Cumplimiento de politicas,Correccion tecnica,Media,Medio,Media,Bajo,Por hacer,Especialista Meta Ads,,Prestador,1 hora,,,DOC-07;DOC-08,Tarea T5,El rotulo visual en el video no basta; Meta detecta origen IA automaticamente,DOC-07;DOC-08,Todo creativo con avatar IA tiene el control de divulgacion activado en Ads Manager,Captura de Ads Manager mostrando el control activado,Riesgo de rechazo o penalizacion de entrega por no declarar contenido generado con IA,Meta Ads;compliance;IA,Corto plazo,,
TASK-053,Documentar el criterio de uso de avatar IA vs. testimonio real,"Formalizar por escrito el estandar: avatar IA para prospeccion fria/testeo de angulo, testimonio real para audiencias calidas y remarketing.",Cumplimiento de politicas,Documentacion,Media,Medio,Baja,Bajo,Por hacer,Especialista Meta Ads,Direccion o gerencia,Ambos,2 horas,,,DOC-07;DOC-08,Tarea T6,"Evidencia 2026: CPA similar en frio, testimonio real gana 20-25% en conversion en calido",DOC-07;DOC-08;DOC-11,Documento de criterio aprobado y disponible para el equipo creativo,Documento de criterio firmado,"Se mezclan avatar IA y testimonio real sin criterio, perdiendo el diferencial de conversion en calido",Meta Ads;creatividades;compliance,Mediano plazo,,
TASK-054,Instrumentar hook rate y hold rate como metricas de diagnostico estandar,"Configurar el reporte de hook rate y hold rate para cada pieza de video nueva, como metrica de seguimiento permanente.",Meta Ads,Documentacion,Baja,Medio,Baja,Bajo,Por hacer,Especialista Meta Ads,,Prestador,2 horas (setup de reporte),,,DOC-07;DOC-08,Tarea T7,Metrica de diagnostico estandar recomendada para todo creativo de video nuevo,DOC-07;DOC-08,Reporte de hook rate/hold rate disponible para cada video activo,Captura del reporte configurado,Sin esta metrica no se puede diagnosticar por que un video pierde audiencia temprano,Meta Ads;creatividades;analitica,Mediano plazo,,
TASK-055,Definir estandar de duracion de video por tipo de angulo,"Fijar como checklist de produccion: 15-20s para angulo miedo/urgencia, 30-50s para angulo explicativo/autoridad.",Meta Ads,Documentacion,Baja,Bajo,Baja,Bajo,Por hacer,Direccion o gerencia,Especialista Meta Ads,Ambos,1 reunion,,,DOC-07;DOC-08,Tarea T8,Checklist de produccion recomendado por angulo de creativo,DOC-07;DOC-08,Checklist documentado y aplicado a todo brief de produccion nuevo,Documento de checklist,Videos de duracion inadecuada al angulo pierden retencion sin diagnostico claro,Meta Ads;creatividades;produccion,Largo plazo,,
TASK-056,Seleccionar y subir 10-20 creativos variados del banco de 70 para Advantage+ Creative,Curar y publicar entre 10 y 20 piezas del banco de 70 creativos disponibles para alcanzar el minimo que pide Advantage+ Creative.,Meta Ads,Correccion tecnica,Media,Alto,Media,Medio,Bloqueada,Direccion o gerencia,Especialista Meta Ads,Ambos,2-3 horas,TASK-060,,DOC-07,Tarea T10 / Activo A1,"Banco de 70 creativos cubre de sobra el minimo que pide Advantage+ Creative, sin produccion nueva",DOC-07,10 a 20 creativos activos y disponibles para Advantage+ Creative en la cuenta,Captura de Ads Manager mostrando los creativos subidos,Se desaprovecha un banco de contenido ya producido sin costo adicional,Meta Ads;creatividades,Corto plazo,,Cada creativo seleccionado debe pasar primero por el checklist de compliance (TASK-060)
TASK-057,Definir calendario de rotacion de creativos,"Establecer una cadencia de rotacion semanal a quincenal de creativos activos, acorde al ciclo de fatiga 2026 (5-7 dias, no 14-21).",Meta Ads,Recomendacion estrategica,Media,Medio,Media,Bajo,Por hacer,Especialista Meta Ads,Direccion o gerencia,Ambos,1 reunion,,,DOC-07;DOC-08,Tarea T11,El ciclo de fatiga creativa 2026 con Andromeda bajo de 14-21 dias a 5-7 dias,DOC-07;DOC-08,Calendario de rotacion documentado y en uso,Documento de calendario aprobado,Sin calendario de rotacion se repite el patron que llevo a 16 meses sin refrescar el creativo activo,Meta Ads;creatividades;planificacion,Mediano plazo,,
TASK-058,Configurar alertas automaticas de fatiga creativa,"Configurar gatillos automaticos de reemplazo de creativo: caida de CTR superior a 20%, frecuencia superior a 3.0, relevance score menor a 6/10.",Meta Ads,Correccion tecnica,Media,Medio,Media,Bajo,Por hacer,Especialista Meta Ads,,Prestador,1-2 horas,,,DOC-07;DOC-08,Tarea T12,Reemplazar el criterio de reemplazo por dato en vez de percepcion visual de que el creativo se ve viejo,DOC-07;DOC-08,Alertas configuradas y disparando notificacion cuando se cumple alguno de los 3 umbrales,Captura de la configuracion de alertas,"Se sigue detectando fatiga tarde, por percepcion, como paso con Video 22 durante 16 meses",Meta Ads;creatividades;automatizacion,Mediano plazo,,
TASK-059,Testear el objetivo Leads en un ad set piloto,"Correr en paralelo al objetivo Conversations un ad set piloto con objetivo Leads, una vez que la senal de calidad via CAPI este disponible.",Meta Ads,Correccion tecnica,Media,Medio,Media,Bajo,Bloqueada,Especialista Meta Ads,,Prestador,30 min de setup,TASK-004,,DOC-07,Tarea T14,"Sin senal de calidad via CAPI, Meta no puede optimizar por calidad de lead en el objetivo Leads",DOC-07;DOC-08,Ad set piloto con objetivo Leads activo y comparable contra el objetivo Conversations actual,Captura de Ads Manager mostrando el ad set piloto activo,Se sigue optimizando solo por volumen de conversacion sin comparar contra un objetivo de calidad,Meta Ads;experimentacion,Mediano plazo,,Depende de TASK-004 (senal de calidad via CAPI)
TASK-060,Auditar el banco de 70 creativos contra el checklist de compliance de copy,Revisar cada uno de los 70 creativos existentes contra el checklist de compliance (regla de tercera persona/estadistico) antes de reactivar cualquiera.,Cumplimiento de politicas,Validacion en plataforma,Alta,Alto,Media,Alto,Bloqueada,Direccion o gerencia,,Cliente,1 dia (revision por lotes),TASK-026,TASK-056,DOC-07,Tarea T16 / Activo A1,Ningun creativo del banco de 70 se reactiva sin pasar esta auditoria segun la regla de compliance del backlog de Investigacion 2,DOC-07,"Los 70 creativos quedan clasificados como aprobados, a ajustar, o descartados contra el checklist",Planilla de auditoria del banco de creativos completada,"Riesgo de reactivar creativos con copy en segunda persona que implique deuda individual, fuera de la politica de Atributos Personales de Meta",Meta Ads;compliance;creatividades,Corto plazo,,Depende de TASK-026 (checklist ya creado); bloquea TASK-056
TASK-061,Revisar bandera de categoria de servicios financieros en Business Manager,Confirmar preventivamente en Business Manager si la cuenta publicitaria tiene alguna bandera de categoria servicios financieros que pueda limitar segmentacion o creativos.,Cumplimiento de politicas,Validacion en plataforma,Baja,Bajo,Baja,Bajo,Por hacer,Especialista Meta Ads,,Prestador,30 min,,,DOC-07,Tarea T17,"No hay evidencia de bloqueo hoy, pero conviene confirmar preventivamente dado el rubro tributario/legal",DOC-07,Confirmacion documentada del estado de la bandera de categoria en Business Manager,Captura de la configuracion de categoria de la cuenta,Restricciones de categoria no detectadas a tiempo pueden limitar alcance o formatos sin explicacion aparente,Meta Ads;compliance;gobernanza,Largo plazo,,
TASK-062,Relanzar el angulo CAE como campana nueva una vez aprobada la oferta actualizada,Publicar la campana CAE con nomenclatura nueva (no reutilizar el naming de abril 2026) una vez que la oferta y condiciones esten actualizadas.,Meta Ads,Correccion tecnica,Media,Alto,Media,Bajo,Bloqueada,Especialista Meta Ads,,Prestador,15-30 min en Ads Manager,TASK-015,,DOC-06,Lista Ajuste CAE,"Las 3 campanas CAE son mas eficientes en costo por resultado que la campana activa, pero requieren oferta actualizada primero",DOC-03;DOC-06;DOC-16,Campana CAE nueva activa con nomenclatura distinta a la de abril 2026,Captura de Ads Manager mostrando la campana nueva activa,Se pierde la palanca de menor costo por resultado del historico de la cuenta,Meta Ads;CAE;campanas,Mediano plazo,,Depende 100% de TASK-015 (oferta actualizada)
TASK-063,Pausar o reducir presupuesto de Diagnosticos Gratuitos mientras se refresca su creativo,"Reducir la inversion en la unica campana activa mientras se ejecuta el refresco de creativo, para no seguir gastando en un anuncio con fatiga confirmada.",Meta Ads,Correccion tecnica,Alta,Alto,Alta,Bajo,Por hacer,Especialista Meta Ads,,Prestador,15 min,,TASK-012,DOC-06,Lista Impacto Alto,Meta diagnostica textualmente This ad is not spurring interest sobre el unico anuncio activo,DOC-03;DOC-06;DOC-08,Presupuesto de la campana reducido o pausado hasta que el nuevo creativo este activo,Captura de Ads Manager mostrando el ajuste de presupuesto,Se sigue gastando en un anuncio ya diagnosticado con fatiga mientras se prepara el reemplazo,Meta Ads;creatividades;presupuesto,Inmediata,,Precede a TASK-012 (refresco de creativo)
TASK-064,Confirmar responsable de acceso y administracion de cada plataforma antes del traspaso,"Documentar quien queda como responsable de acceso/administracion de Meta, Google Ads, GA4 y el sitio web antes de formalizar el traspaso a la agencia entrante.",Gobernanza y accesos,Documentacion,Media,Medio,Media,Bajo,Por hacer,Direccion o gerencia,Responsable de accesos,Cliente,1 reunion,,,DOC-12,Mapa de gobernanza de accesos,"Mapa de gobernanza de las 4 plataformas ya documentado, falta asignar responsable formal por plataforma",DOC-12,"Documento de gobernanza con responsable nombrado por plataforma, aprobado por Direccion",Documento de gobernanza firmado,Traspaso a la agencia entrante sin claridad de quien administra cada acceso,gobernanza;accesos,Corto plazo,,
TASK-065,Revisar la relevancia de las 3 cuentas de Google Ads no vinculadas a GA4,"Confirmar si las cuentas 2856806495, 5789067229 y 5020760344 son relevantes para Defensor del Contribuyente o corresponden a otros clientes visibles por el mismo token compartido.",Gobernanza y accesos,Validacion en plataforma,Baja,Bajo,Baja,Bajo,Bloqueada,Responsable de accesos,,Cliente,30 min,TASK-005,,DOC-12,Mapa de gobernanza de accesos,"3 cuentas de Google Ads visibles pero no vinculadas a GA4, de origen no confirmado",DOC-12,Confirmacion documentada del origen y relevancia de cada una de las 3 cuentas,Nota de revision con el origen confirmado de cada cuenta,Riesgo de gestionar o reportar sobre cuentas que no pertenecen al negocio,gobernanza;Google Ads,Mediano plazo,,Depende de TASK-005 (acceso al token)
TASK-066,Confirmar en Meta Events Manager si el pixel 524558258682248 recibe eventos reales hoy,"El escaneo en vivo de la home mas 10 paginas de servicio (19-08-2026) no encontro fbq(), facebook.com/tr, connect.facebook.net ni el ID de pixel en el HTML crudo de ninguna de las 11 paginas revisadas. Solo se encontro una meta tag facebook-domain-verification en el subdominio servicios. (paginas 4 y 7), que confirma una conexion a Meta Business Manager a nivel de dominio pero no un pixel disparando. Hay que confirmar directamente en Meta Events Manager si el pixel 524558258682248 esta recibiendo eventos en tiempo real y desde que paginas, o si los datos que ve Ads Manager son historicos/legacy.",Meta Ads,Validacion en plataforma,Alta,Alto,Alta,Bajo,Por hacer,Especialista GA4/GTM,Especialista Meta Ads,Prestador,1-2 horas,,TASK-033,DOC-03;DOC-09;DOC-19;DOC-20,Contradiccion confirmada con escaneo en vivo 19-08-2026,"Pixel activo segun Meta Ads Manager (DOC-03) vs cero rastro de fbq()/pixel en 11 paginas escaneadas en vivo (home + 10 URL de servicio); unico indicio real es una meta tag de verificacion de dominio en servicios., no un pixel disparando",DOC-03;DOC-09;DOC-20 (escaneo en vivo),"Se confirma con captura de Meta Events Manager si hay eventos en tiempo real hoy, y desde que dominio/subdominio llegan",Captura de Meta Events Manager con la prueba de eventos en tiempo real,"Sin esto, TASK-033 puede instalar un pixel nuevo sobre uno que ya existe de forma invisible, duplicando el problema del GTM",Meta Ads;GTM;tracking;contradiccion,Inmediata,,Confirmado con evidencia tecnica mas fuerte en la segunda auditoria (19-08-2026) — precede a TASK-033
TASK-067,Cambiar la URL de campana de los 2 posts con parametro preview_id a la version limpia,"Actualizar el destino de la campana pagada para ml-condonaciones-convenios y perdonazo-tributario-2022 (subdominio servicios.) a la URL sin el parametro ?preview_id, que hoy carga ~14 veces mas lento (1.5s vs 0.1s) pese a ser contenido identico.",Meta Ads,Correccion tecnica,Alta,Alto,Alta,Bajo,Por hacer,Especialista Meta Ads,,Prestador,15 min,,,DOC-09,Priorizacion de acciones #4,"Correccion de una linea, ~14x mas rapido en cada clic pagado; identificada como la correccion de mayor impacto por esfuerzo de toda la auditoria de 14 URL",DOC-09,"Las URL de campana activas no contienen el parametro preview_id, verificado en Ads Manager",Captura de la configuracion de campana con la URL final corregida,Cada clic pagado hacia esas 2 URL sigue pagando por una carga 14x mas lenta sin ningun beneficio,SEO;rendimiento;campanas;quick-win,Inmediata,,
TASK-068,Decidir si las 2 paginas de casos de exito deben coexistir o consolidarse,"Definir si /casos-exito-tributario/ (7 testimonios) y /casos-de-exito/ (8 testimonios, pagina madre con enlaces a casos individuales) deben mantenerse como paginas separadas o consolidarse, dado que ambas cubren el mismo tema y podrian competir por las mismas busquedas.",SEO de contenidos,Recomendacion estrategica,Media,Medio,Media,Medio,Por hacer,Especialista SEO,Direccion o gerencia,Ambos,1 reunion + trabajo de implementacion si se decide consolidar,,,DOC-09,Priorizacion de acciones #6,"Existen dos paginas de casos de exito activas y distintas apuntando al mismo tema, confirmado en la auditoria de 14 URL y en el escaneo en vivo",DOC-09;DOC-20 (escaneo en vivo),"Decision documentada: mantener ambas con proposito diferenciado explicito, o consolidar en una sola con redireccion",Documento de decision de arquitectura de contenido,"Redunancia SEO similar a la canibalizacion del blog, con menor volumen pero mismo mecanismo",SEO;contenido;arquitectura,Corto plazo,,
TASK-069,Bajar el segundo H1 del bloque de agendamiento a H2 o H3 en las URL afectadas,"Corregir el bloque de agendamiento (Reunion ) que aparece marcado como un segundo &lt;h1&gt; en al menos 8 de las 14 URL de campana (FAQ, casos de exito, blog), confirmado tambien en vivo en las paginas de FAQ y casos de exito auditadas hoy.",SEO tecnico,Correccion tecnica,Media,Medio,Media,Medio,Por hacer,Desarrollador web,,Prestador,2-3 horas,,,DOC-09,Priorizacion de acciones #7,"H1 duplicado en 8 de 14 URL, confirmado en vivo en las 3 FAQ y en casos-exito-tributario durante el escaneo del 19-08-2026",DOC-09;DOC-20 (escaneo en vivo),"Cada URL afectada tiene un unico &lt;h1&gt;, con el bloque de agendamiento bajado a &lt;h2&gt; o &lt;h3&gt;",Inspeccion del HTML mostrando un solo H1 por pagina,Doble H1 diluye la senal de tema principal para buscadores en 8+ URL del sitio,SEO;tecnico;WordPress,Corto plazo,,
TASK-070,Completar el atributo alt en diagnostico. (100% sin alt) y en las paginas con peor cobertura,"Redactar y cargar texto alternativo en las 53 imagenes de diagnostico.defensordelcontribuyente.cl (0% de cobertura hoy, confirmado en vivo) y en casos-exito-tributario (75% sin alt, 18 de 24), las dos paginas con peor accesibilidad de imagenes del sitio.",Accesibilidad,Correccion tecnica,Media,Medio,Media,Alto,Por hacer,Redactor o equipo de contenidos,,Prestador,"1 dia (volumen alto, 53+18 imagenes)",,,DOC-09,Priorizacion de acciones #9,"100% sin alt en diagnostico (53/53) y 75% sin alt en casos-exito-tributario (18/24), confirmado en el escaneo en vivo del 19-08-2026, coherente con la ausencia total de tracking ya reportada en diagnostico.",DOC-09;DOC-20 (escaneo en vivo),Cobertura de alt superior al 90% en ambas paginas,Auditoria de accesibilidad posterior mostrando la cobertura,"Peor accesibilidad y peor senal SEO de imagenes de todo el ecosistema, concentrada en el formulario de mayor intencion (diagnostico)",SEO;accesibilidad;WordPress,Corto plazo,,No duplica TASK-039 (que es solo la home); complementa el hallazgo original de la auditoria WordPress
TASK-071,Investigar el tercer sistema de tracking (Site Kit / GT-NCHTQWQT) activo solo en servicios.,"El escaneo en vivo del 19-08-2026 encontro que servicios.defensordelcontribuyente.cl corre un Google tag adicional (GT-NCHTQWQT) inyectado por el plugin Site Kit by Google 1.185.0, mas una meta tag facebook-domain-verification — ninguno de los dos existe en el dominio principal ni en diagnostico., y ninguna auditoria previa lo habia detectado porque el inventario de plugins solo cubrio el dominio principal (WordPress separado).",Gobernanza y accesos,Validacion en plataforma,Alta,Alto,Media,Medio,Por hacer,Especialista GA4/GTM,Desarrollador web,Prestador,2-3 horas,,,DOC-20 (escaneo en vivo),"Hallazgo nuevo, no documentado en ninguna auditoria anterior","GT-NCHTQWQT y facebook-domain-verification activos solo en servicios., ademas de GTM-N7BQZZW (sin GTM-MQC692WV) y AW-593050363 propio",DOC-20 (escaneo en vivo),Inventario de plugins de servicios. obtenido (requiere acceso al panel de ese WordPress separado) y confirmado que datos de Site Kit no entran en conflicto con GA4/GTM del dominio principal,Documento con el inventario de plugins de servicios. y el mapa de tracking reconciliado,"Se estan tomando decisiones de tracking (TASK-013, TASK-050) sin conocer el stack completo de uno de los 3 WordPress del ecosistema",WordPress;tracking;gobernanza;servicios-subdominio,Inmediata,,"Requiere acceso al panel de administracion de servicios.defensordelcontribuyente.cl, no cubierto por la auditoria de plugins del dominio principal"
TASK-072,Quitar el requisito de RUT obligatorio en el primer contacto de los formularios,El escaneo en vivo confirmo que 3 de los 4 formularios de la home y la mayoria de los formularios de las 10 paginas de servicio piden RUT como campo obligatorio en el primer contacto (antes de cualquier evaluacion del caso) — contradice la recomendacion ya existente de simplificar el formulario para trafico frio (TASK-035) y es una practica de friccion alta para captacion inicial.,CRO,Correccion tecnica,Media,Alto,Media,Medio,Por hacer,Desarrollador web,Responsable comercial,Ambos,2-3 horas,,TASK-035,DOC-20 (escaneo en vivo),Formularios de la home y 10 paginas de servicio,"RUT obligatorio confirmado en emailForm, wsForm y el emailForm del popup 7791 en la home, y en la mayoria de los formularios de las paginas de servicio auditadas en vivo",DOC-02;DOC-13(SL8);DOC-20 (escaneo en vivo),El formulario de primer contacto no exige RUT; se solicita en una etapa posterior del embudo si es necesario,Captura del formulario sin el campo RUT obligatorio,"Se sigue pidiendo un dato sensible antes de que el visitante confie lo suficiente, elevando el abandono de formulario ya confirmado en 57%",CRO;landing;privacidad;formularios,Corto plazo,,Hallazgo que refuerza y precisa TASK-035 con evidencia especifica de que campo eliminar
